"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-133.2,57.2,2087,-73.2206525802612,621
-131.2,55.2,2178,-86.4289727210999,-476
-123.2,49.2,2541,-121.751359939575,21
-123.2,47.2,2542,-120.079343795776,-340
-123.2,45.2,2543,-123.113406181335,-229
-123.2,43.2,2544,-132.752625465393,4
-123.2,41.2,2545,-118.572145462036,61
-123.2,39.2,2546,-141.457812309265,-16
-121.2,53.2,2629,-58.1950206756592,-124
-121.2,51.2,2630,-79.9883227348328,-12
-121.2,47.2,2632,-80.3451147079468,-306
-121.2,45.2,2633,-114.412843704224,-68
-121.2,39.2,2636,-169.318958282471,35
-121.2,37.2,2637,-166.175437927246,96
-119.2,51.2,2720,-57.8352708816528,338
-119.2,49.2,2721,-55.8910624980927,231
-119.2,47.2,2722,-127.824051856995,-22
-119.2,45.2,2723,-84.711416721344,-73
-119.2,43.2,2724,-106.888947486877,-28
-119.2,41.2,2725,-112.910354614258,-13
-119.2,37.2,2727,-108.686135292053,126
-117.2,49.2,2811,-80.4335832595825,4
-117.2,47.2,2812,-108.788458824158,-75
-117.2,45.2,2813,-42.4884061813354,-131
-117.2,43.2,2814,-101.412572860718,-36
-117.2,41.2,2815,-113.067135810852,-12
-117.2,39.2,2816,-106.391156196594,31
-117.2,33.2,2819,-183.731155395508,100
-115.2,41.2,2905,-103.158197879791,-7
-115.2,37.2,2907,-151.430218696594,20
-113.2,35.2,2998,-145.199625015259,60
-113.2,33.2,2999,-235.507905960083,44
-113.2,31.2,3000,-230.854814529419,44
-111.2,35.2,3088,-146.273551940918,52
-111.2,33.2,3089,-224.156885147095,58
-111.2,31.2,3090,-198.432666778565,146
-111.2,29.2,3091,-252.548187255859,88
-109.2,45.2,3173,-97.059552192688,5
-109.2,35.2,3178,-140.156562805176,30
-109.2,33.2,3179,-159.143447875977,58
-109.2,31.2,3180,-197.232145309448,96
-109.2,29.2,3181,-240.63680267334,162
-109.2,27.2,3182,-269.114894866943,53
-107.2,33.2,3269,-178.955729484558,55
-107.2,31.2,3270,-192.944448471069,73
-107.2,29.2,3271,-157.420062065125,18
-105.2,43.2,3354,-119.088124752045,-20
-105.2,35.2,3358,-143.660520553589,31
-105.2,33.2,3359,-149.429864883423,88
-105.2,31.2,3360,-180.332479476929,87
-105.2,29.2,3361,-204.4156665802,28
-105.2,27.2,3362,-197.753042221069,-34
-105.2,25.2,3363,-180.120187759399,-90
-103.2,43.2,3444,-127.317135810852,29
-103.2,41.2,3445,-124.140146255493,27
-103.2,39.2,3446,-128.901166915894,37
-103.2,37.2,3447,-142.984999656677,35
-103.2,35.2,3448,-172.713916778565,43
-103.2,33.2,3449,-170.124104499817,32
-103.2,31.2,3450,-205.698947906494,37
-103.2,29.2,3451,-201.069343566895,20
-103.2,27.2,3452,-208.412948608398,-13
-103.2,25.2,3453,-212.957979202271,74
-101.2,43.2,3534,-124.707697868347,35
-101.2,41.2,3535,-131.310041427612,39
-101.2,39.2,3536,-147.148114204407,50
-101.2,37.2,3537,-164.124718666077,50
-101.2,35.2,3538,-172.260864257812,51
-101.2,33.2,3539,-193.405717849731,45
-101.2,31.2,3540,-200.602375030518,14
-101.2,29.2,3541,-235.875926971435,67
