"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-161.2,59.2,826,-42.1108229160309,-122
-161.2,55.2,828,-64.1666665077209,-102
-157.2,59.2,1006,-44.012614607811,-64
-157.2,57.2,1007,-54.5883228778839,-11
-157.2,21.2,1025,-234.052047729492,259
-155.2,59.2,1096,-43.5865625143051,-40
-155.2,19.2,1116,-206.799880981445,-80
-153.2,57.2,1187,-63.0057411193848,71
-151.2,61.2,1275,-48.6376250982284,-24
-151.2,59.2,1276,-53.5466701984406,10
-139.2,59.2,1816,-70.1416666507721,-143
-135.2,59.2,1996,-50.2953578233719,161
-135.2,57.2,1997,-59.6863684654236,324
-133.2,57.2,2087,-73.2206525802612,621
-133.2,55.2,2088,-83.3422961235046,263
-131.2,55.2,2178,-86.4289727210999,-476
-129.2,55.2,2268,-65.0550208091736,131
-129.2,53.2,2269,-87.8395295143127,971
-127.2,55.2,2358,-42.63126039505,191
-127.2,53.2,2359,-53.9117290973663,320
-127.2,51.2,2360,-89.8907713890076,49
-125.2,55.2,2448,-48.1143332719803,-7
-125.2,53.2,2449,-41.988823056221,8
-125.2,49.2,2451,-82.5754685401917,-219
-123.2,55.2,2538,-55.742781162262,-44
-123.2,53.2,2539,-59.9245519638062,-51
-123.2,49.2,2541,-121.751359939575,21
-123.2,47.2,2542,-120.079343795776,-340
-123.2,45.2,2543,-123.113406181335,-229
-123.2,43.2,2544,-132.752625465393,4
-123.2,41.2,2545,-118.572145462036,61
-123.2,39.2,2546,-141.457812309265,-16
-121.2,55.2,2628,-45.8760104179382,16
-121.2,53.2,2629,-58.1950206756592,-124
-121.2,51.2,2630,-79.9883227348328,-12
-121.2,49.2,2631,-62.4888124465942,31
-121.2,47.2,2632,-80.3451147079468,-306
-121.2,45.2,2633,-114.412843704224,-68
-121.2,43.2,2634,-82.9624271392822,-52
-121.2,41.2,2635,-109.684635162354,-5
-121.2,39.2,2636,-169.318958282471,35
-121.2,37.2,2637,-166.175437927246,96
-119.2,55.2,2718,-55.8383123874664,-32
-119.2,51.2,2720,-57.8352708816528,338
-119.2,49.2,2721,-55.8910624980927,231
-119.2,47.2,2722,-127.824051856995,-22
-119.2,45.2,2723,-84.711416721344,-73
