"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-123.2,45.2,2543,-123.113406181335,-229
-123.2,43.2,2544,-132.752625465393,4
-123.2,41.2,2545,-118.572145462036,61
-123.2,39.2,2546,-141.457812309265,-16
-121.2,47.2,2632,-80.3451147079468,-306
-121.2,45.2,2633,-114.412843704224,-68
-121.2,43.2,2634,-82.9624271392822,-52
-121.2,41.2,2635,-109.684635162354,-5
-121.2,39.2,2636,-169.318958282471,35
-121.2,37.2,2637,-166.175437927246,96
-119.2,49.2,2721,-55.8910624980927,231
-119.2,47.2,2722,-127.824051856995,-22
-119.2,45.2,2723,-84.711416721344,-73
-119.2,43.2,2724,-106.888947486877,-28
-119.2,41.2,2725,-112.910354614258,-13
-119.2,39.2,2726,-132.53591632843,-2
-119.2,37.2,2727,-108.686135292053,126
-119.2,35.2,2728,-197.020864486694,27
-117.2,43.2,2814,-101.412572860718,-36
-117.2,41.2,2815,-113.067135810852,-12
-117.2,39.2,2816,-106.391156196594,31
-117.2,37.2,2817,-141.734292030335,20
-117.2,35.2,2818,-186.364093780518,37
-117.2,33.2,2819,-183.731155395508,100
-115.2,43.2,2904,-90.4495310783386,-50
-115.2,41.2,2905,-103.158197879791,-7
-115.2,39.2,2906,-107.076177120209,9
-115.2,37.2,2907,-151.430218696594,20
-115.2,35.2,2908,-172.928771018982,51
-115.2,33.2,2909,-229.697834014893,27
-115.2,31.2,2910,-192.465749740601,56
-113.2,43.2,2994,-109.262395858765,-30
-113.2,41.2,2995,-142.077875137329,-19
-113.2,39.2,2996,-124.172520637512,14
-113.2,37.2,2997,-166.400301933289,56
-113.2,35.2,2998,-145.199625015259,60
-113.2,33.2,2999,-235.507905960083,44
-113.2,31.2,3000,-230.854814529419,44
-113.2,29.2,3001,-221.222625732422,33
-113.2,27.2,3002,-223.718812942505,21
-111.2,41.2,3085,-87.5057501792908,-87
-111.2,39.2,3086,-88.6340937614441,-20
-111.2,37.2,3087,-160.706948280335,57
-111.2,35.2,3088,-146.273551940918,52
-111.2,33.2,3089,-224.156885147095,58
-111.2,31.2,3090,-198.432666778565,146
-111.2,29.2,3091,-252.548187255859,88
-111.2,25.2,3093,-221.691312789917,62
-109.2,41.2,3175,-97.343635559082,-42
-109.2,39.2,3176,-142.026885032654,10
-109.2,37.2,3177,-161.407426834106,26
-109.2,35.2,3178,-140.156562805176,30
-109.2,33.2,3179,-159.143447875977,58
-109.2,31.2,3180,-197.232145309448,96
-109.2,29.2,3181,-240.63680267334,162
-109.2,27.2,3182,-269.114894866943,53
-107.2,37.2,3267,-95.5437083244324,56
-107.2,35.2,3268,-139.153354644775,38
-107.2,33.2,3269,-178.955729484558,55
-107.2,31.2,3270,-192.944448471069,73
-107.2,29.2,3271,-157.420062065125,18
-107.2,27.2,3272,-169.483020782471,169
-107.2,25.2,3273,-243.102125167847,1
-105.2,41.2,3355,-91.7689270973206,-52
-105.2,37.2,3357,-57.1748124361038,6
-105.2,35.2,3358,-143.660520553589,31
-105.2,33.2,3359,-149.429864883423,88
-105.2,31.2,3360,-180.332479476929,87
-105.2,29.2,3361,-204.4156665802,28
-105.2,27.2,3362,-197.753042221069,-34
-105.2,25.2,3363,-180.120187759399,-90
-105.2,23.2,3364,-206.117208480835,63
-103.2,43.2,3444,-127.317135810852,29
-103.2,41.2,3445,-124.140146255493,27
-103.2,39.2,3446,-128.901166915894,37
-103.2,37.2,3447,-142.984999656677,35
-103.2,35.2,3448,-172.713916778565,43
-103.2,33.2,3449,-170.124104499817,32
-103.2,31.2,3450,-205.698947906494,37
-103.2,29.2,3451,-201.069343566895,20
-103.2,27.2,3452,-208.412948608398,-13
-103.2,25.2,3453,-212.957979202271,74
-103.2,23.2,3454,-176.446135520935,0
-103.2,21.2,3455,-208.599281311035,94
-103.2,19.2,3456,-196.861749649048,-215
-101.2,43.2,3534,-124.707697868347,35
-101.2,41.2,3535,-131.310041427612,39
-101.2,39.2,3536,-147.148114204407,50
-101.2,37.2,3537,-164.124718666077,50
-101.2,35.2,3538,-172.260864257812,51
-101.2,33.2,3539,-193.405717849731,45
-101.2,31.2,3540,-200.602375030518,14
-101.2,29.2,3541,-235.875926971435,67
-101.2,27.2,3542,-243.200281143189,-9
-101.2,25.2,3543,-210.256885528565,-48
-101.2,23.2,3544,-184.223052024841,44
-101.2,21.2,3545,-175.24925994873,-9
-101.2,19.2,3546,-211.353157043457,-3
-99.2,39.2,3626,-152.288469314575,38
-99.2,37.2,3627,-172.396562576294,73
-99.2,35.2,3628,-185.565405845642,70
-99.2,33.2,3629,-201.60625076294,34
-99.2,31.2,3630,-205.825759887695,-35
-99.2,29.2,3631,-228.73380279541,30
-99.2,27.2,3632,-249.102760314941,28
-99.2,25.2,3633,-251.175354003906,-36
-99.2,23.2,3634,-208.550344467163,-75
-99.2,21.2,3635,-219.404052734375,-476
-99.2,19.2,3636,-140.583072662353,119
-99.2,17.2,3637,-251.425291061401,-38
-97.2,39.2,3716,-165.615655899048,51
-97.2,37.2,3717,-174.857885360718,69
-97.2,35.2,3718,-193.386551856995,105
-97.2,33.2,3719,-207.132448196411,85
-97.2,31.2,3720,-216.816072463989,77
-97.2,29.2,3721,-224.400053024292,68
-97.2,19.2,3726,-133.735458374023,130
-97.2,17.2,3727,-185.347385406494,-88
-95.2,39.2,3806,-163.873031616211,82
-95.2,37.2,3807,-174.048083305359,22
-95.2,35.2,3808,-195.937427520752,80
